occupation,category,median_pay,num_jobs,outlook_pct,education,work_experience,training,description,url,ai_score,ai_reasoning
Computer Hardware Engineers,Architecture And Engineering,155020,76800,7,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,6,Hardware design is digital but prototyping and testing have physical components.
Drafters,Architecture And Engineering,65380,192100,0,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,8,Technical drawing and CAD work is heavily digital and AI-assistable.
Electrical and Electronic Engineering Technologists and Technicians,Architecture And Engineering,77180,93700,1,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,5,Technical testing and support.
Electrical and Electronics Engineers,Architecture And Engineering,118780,287900,7,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,6,Circuit design and analysis are AI-assistable. Some physical testing required.
Electro-mechanical and Mechatronics Technologists and Technicians,Architecture And Engineering,70760,15000,1,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,4,Physical system assembly and testing.
Environmental Engineering Technologists and Technicians,Architecture And Engineering,58890,12900,1,"63,770",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm,5,Environmental testing and monitoring.
Environmental Engineers,Architecture And Engineering,104170,39400,4,"97,510",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,6,Environmental analysis and compliance documentation are AI-assistable. Field work is physical.
Health and Safety Engineers,Architecture And Engineering,109660,23800,4,"$114,650",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,6,Safety analysis and compliance — digital analytical work with site visits.
Industrial Engineering Technologists and Technicians,Architecture And Engineering,64790,74600,2,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm,5,Process analysis with some physical work.
Industrial Engineers,Architecture And Engineering,101140,351100,11,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,7,"Process optimization, efficiency analysis, and workflow design are core AI strengths."
Landscape Architects,Architecture And Engineering,79660,21800,3,"$103,780",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,6,Design is digital. Site assessment requires physical visits.
Marine Engineers and Naval Architects,Architecture And Engineering,105670,8500,6,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,6,Ship design is digital. Sea trials and inspections are physical.
Materials Engineers,Architecture And Engineering,108310,23000,6,"$133,700",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,6,Research and analysis with lab work components.
Mechanical Engineering Technologists and Technicians,Architecture And Engineering,68730,38300,0,Associate's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,5,Technical support with testing.
Mechanical Engineers,Architecture And Engineering,102320,293100,9,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,6,"Design and analysis are digital tasks. AI can assist with CAD, simulation, and optimization."
Mining and Geological Engineers,Architecture And Engineering,101020,7000,1,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,5,Mining design with field work.
Nuclear Engineers,Architecture And Engineering,127520,15400,-1,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,6,Analysis and design are digital. Plant operations require physical presence.
Petroleum Engineers,Architecture And Engineering,141280,19600,1,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm,6,Subsurface analysis is digital but field work is physical.
Surveying and Mapping Technicians,Architecture And Engineering,51940,59400,5,"60,690",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,4,Field measurements are physical. Data processing is AI-assistable.
Surveyors,Architecture And Engineering,72740,56100,4,"$90,630",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm,4,Physical field work with digital data processing.
Art Directors,Arts And Design,111040,135000,4,Bachelor's degree,5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/art-directors.htm,7,Creative direction with heavy digital design component.
Craft and Fine Artists,Arts And Design,56260,52000,0,See How to Become One,None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,4,Physical creation of art. AI-generated art is competitive but handmade work retains value.
Fashion Designers,Arts And Design,80690,25700,2,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,7,Design ideation and sketching are AI-assistable. Physical fitting is not.
Floral Designers,Arts And Design,36120,43800,-6,High school diploma or equivalent,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,2,Physical arrangement of flowers. Minimal digital component.
Graphic Designers,Arts And Design,61300,265900,2,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,8,"AI image generation and design tools can create layouts, graphics, and visual content. Most work is screen-based digital output."
Industrial Designers,Arts And Design,79450,30600,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,7,Product design using CAD — AI-assistable digital work.
Interior Designers,Arts And Design,63490,87100,3,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,6,Space planning and visualization are digital. Site visits and client meetings are physical.
Special Effects Artists and Animators,Arts And Design,99800,57100,2,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,7,Digital content creation — core AI capability for generation and enhancement.
Set and Exhibit Designers,Arts And Design,66280,31300,2,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm,5,Design is digital but physical construction and installation are not.
Grounds Maintenance Workers,Building And Grounds Cleaning,38470,1296400,4,18.81,None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,1,Physical outdoor maintenance work.
Janitors and Building Cleaners,Building And Grounds Cleaning,35930,2447700,2,18.05,None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,1,Physical cleaning tasks in varied real-world environments. Requires navigating physical spaces and manual work.
Pest Control Workers,Building And Grounds Cleaning,44730,102400,5,High school diploma or equivalent,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,1,Physical pest treatment in real-world environments.
Accountants and Auditors,Business And Financial,81680,1579800,5,"81,120",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,7,"Financial record-keeping, analysis, and reporting are heavily digital. AI can automate bookkeeping, detect anomalies, and generate reports."
Property Appraisers and Assessors,Business And Financial,65420,77300,4,"63,170",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,6,Property valuation uses data analysis (AI-assistable) and physical inspection (not automatable).
Budget Analysts,Business And Financial,87930,50400,1,"77,460",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/budget-analysts.htm,8,"Budget analysis, forecasting, and report generation are highly automatable digital tasks."
"Claims Adjusters, Appraisers, Examiners, and Investigators",Business And Financial,76790,365300,-5,"70,980",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,7,"Claims processing, documentation review, and damage assessment are increasingly automated."
"Compensation, Benefits, and Job Analysis Specialists",Business And Financial,77020,107000,5,"77,620",Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,7,Data analysis and policy documentation — digital work.
Compliance Officers,Business And Financial,78420,418000,3,"79,520",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,7,"Regulatory monitoring, policy review, and compliance documentation are AI-assistable tasks."
Cost Estimators,Business And Financial,77070,221400,-4,Bachelor's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,7,Estimation based on data analysis and historical patterns — tasks AI handles well.
Credit Counselors,Business And Financial,50480,31800,3,Bachelor's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm,5,Mix of financial analysis (automatable) and personal counseling (not automatable).
Financial Analysts,Business And Financial,101910,429000,6,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,8,"Financial modeling, report writing, and data analysis are heavily automatable. AI can process financial data and generate analysis much faster."
Financial Examiners,Business And Financial,90400,65100,19,"84,030",None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,7,Financial review and compliance analysis — digital analytical work.
Fundraisers,Business And Financial,66490,134400,4,"$72,740",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,5,Relationship building with campaign management (AI-assistable).
Human Resources Specialists,Business And Financial,72910,944300,6,"$81,540",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,7,"Resume screening, policy documentation, and benefits administration are all AI-automatable tasks."
Insurance Underwriters,Business And Financial,79880,127000,-3,Bachelor's degree,None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,8,Risk assessment and policy evaluation — highly automatable analytical work.
Labor Relations Specialists,Business And Financial,93500,65400,0,"86,650",Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,5,Negotiation and interpersonal work with policy analysis.
Loan Officers,Business And Financial,74180,301400,2,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/loan-officers.htm,7,Credit analysis and loan processing are increasingly automated.
Logisticians,Business And Financial,80880,241000,17,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/logisticians.htm,7,"Supply chain optimization, routing, and inventory management are tasks where AI excels."
Management Analysts,Business And Financial,101190,1075100,9,"94,080",Less than 5 years,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,7,"Business analysis, report writing, and process optimization are core AI strengths."
Market Research Analysts,Business And Financial,76950,941700,7,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,8,"Data collection, survey analysis, trend identification, and report generation are all tasks AI can perform efficiently."
"Meeting, Convention, and Event Planners",Business And Financial,59440,155800,5,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,5,Event logistics with vendor coordination (physical) and planning (AI-assistable).
Personal Financial Advisors,Business And Financial,102140,326000,10,Bachelor's degree,None,Long-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,6,"Portfolio analysis and financial planning are AI-assistable, but client relationships provide protection."
Project Management Specialists,Business And Financial,100750,1046300,6,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm,6,"Project planning and tracking are automatable, but team coordination and stakeholder management are not."
"Purchasing Managers, Buyers, and Purchasing Agents",Business And Financial,79830,605600,5,"148,240",See How to Become One,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,6,"Procurement analysis and vendor comparison are automatable, but relationship management is not."
"Tax Examiners and Collectors, and Revenue Agents",Business And Financial,59740,57600,-2,"53,930",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,7,Tax analysis and compliance — digital analytical work.
Training and Development Specialists,Business And Financial,65850,452300,11,"73,920",Less than 5 years,13-1151,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,6,"Content creation and training design are AI-assistable, but in-person facilitation and coaching are not."
Community Health Workers,Community And Social Service,51030,65100,11,"$57,250",None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm,3,Community outreach and health education require physical presence and cultural competency.
Health Education Specialists,Community And Social Service,63000,71800,4,21-1091,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,5,"Content creation and program design are AI-assistable, but community engagement is not."
Marriage and Family Therapists,Community And Social Service,63780,77800,13,"$89,030",None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,4,Therapeutic relationships require human presence and emotional intelligence.
Probation Officers and Correctional Treatment Specialists,Community And Social Service,64520,92300,3,"63,960",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm,4,Supervision requires physical presence. Risk assessment and documentation are AI-assistable.
Rehabilitation Counselors,Community And Social Service,46110,91900,1,"60,590",None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,4,Client interaction and advocacy require human presence.
School and Career Counselors and Advisors,Community And Social Service,65140,376300,4,21-1012,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,5,In-person counseling with students. Information provision and scheduling are automatable.
Social and Human Service Assistants,Community And Social Service,45120,449600,6,"48,690",None,Short-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,4,Client interaction and service coordination. Some administrative tasks are automatable.
Social Workers,Community And Social Service,61330,810900,6,"59,630",None,See How to Become One,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,4,"Client interaction, advocacy, and crisis intervention require human judgment and empathy."
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Community And Social Service,59190,483500,17,Master's degree,None,Internship/residency,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,4,Therapeutic relationships require human connection. Documentation and assessment can be AI-assisted.
Computer and Information Research Scientists,Computer And Information Technology,140910,40300,20,Master's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,7,"While AI can assist with research, the creative and novel aspects of computer science research still require significant human insight."
Computer Network Architects,Computer And Information Technology,130390,179200,12,"105,810",5 years or more,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,7,Network design and planning — digital work. Implementation has physical components.
Computer Programmers,Computer And Information Technology,98670,121200,-6,Bachelor's degree,None,None,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,9,"Core work is writing code — one of the tasks most directly automatable by current AI models. AI can generate, debug, and optimize code across languages."
Computer Support Specialists,Computer And Information Technology,61550,882300,-3,"56,240",None,Moderate-term on-the-job training,"TheWhat They Dotab describes the typical duties and responsibilities of workers in the occupation, including what tools and equipment they use and how closely they are supervised. This tab also covers different types of occupational specialties.",https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,6,Troubleshooting (AI-assistable) with some physical hardware support.
